id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,0.06
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.04
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.05,0.05
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.88,0.03
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.02,0.08
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.94,0.03
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.70,0.04
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.60,0.04
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.90,0.03
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.03,0.06
11,Concrete Bars,Kairo Vane,hip hop,energetic,0.85,100,0.70,0.90,0.08,0.01,0.45
12,Letters to Vienna,Aria Fields,classical,romantic,0.30,70,0.55,0.20,0.95,0.96,0.03
13,Island Sunrise,Coral Tide,reggae,uplifting,0.62,98,0.85,0.78,0.35,0.05,0.10
14,Dust Road Home,Wren Halloway,country,nostalgic,0.55,100,0.60,0.55,0.62,0.02,0.04
15,Iron Verdict,Ashen Crown,metal,angry,0.96,160,0.30,0.50,0.04,0.04,0.07
16,Velvet Hours,Mira Solene,r&b,sultry,0.50,92,0.58,0.72,0.30,0.02,0.09
17,Paper Boats,Elden Grove,folk,melancholy,0.33,84,0.35,0.40,0.88,0.06,0.04
18,Delta Lament,Ruby Slade,blues,soulful,0.45,88,0.42,0.48,0.66,0.10,0.05
19,Pulse Chamber,Null Sector,techno,hypnotic,0.88,128,0.50,0.85,0.03,0.80,0.05
